# Complete regular-file/symlink overlap between the fixed TB321FU device archive and immutable pacman lock.
device_archive_sha256	047c1baccc420f1c28bf6d761cfc811dd7aeccfcbab6d03746ca01daf6cdfe04
device_member_count	2335
lock_archive_sha256	8c9328b682f13e9c518e28a6bcb7b3f0b620273ed94859dec7e4d9f4798c3fb0
lock_manifest_sha256	a2e554de57011255bc25dc86b7c388982fe4ccadfa5cd2131d0bc817eb996bfd
locked_package_count	723
intersect_path_count	16
identical_count	10
mismatch_count	6
status	relative_path	device_type	device_mode	device_size	device_sha256_or_target	arch_package	arch_package_sha256	arch_type	arch_mode	arch_size	arch_sha256_or_target
MISMATCH	usr/lib/firmware/ath12k/WCN7850/hw2.0/board-2.bin	regular	0777	202148	c896bc7782e252aa915849d5c9c47d109ecfe9f0fc5650fe771f7ba8f8eb77fb	linux-firmware-atheros-20260622-1-any.pkg.tar.xz	d000b5fe8765ccd757bee17d8537aaeb065eda9f58870ec40be9534c5c5745c2	regular	0644	2253964	1abee7132dbccb523cca44a8de4e8968aa7bf5a5fcc032c338f687f94ea5bf4e
MISMATCH	usr/lib/firmware/qca/hmtbtfw20.tlv	regular	0777	265528	b4e7f61e7dd090e56811860a7781ff3b0ce8e87cc0480feaab34bf4f614308c5	linux-firmware-atheros-20260622-1-any.pkg.tar.xz	d000b5fe8765ccd757bee17d8537aaeb065eda9f58870ec40be9534c5c5745c2	regular	0644	270120	f1c00f4640a5c4e5dc36a2574d3d1d0afcfd1ab58a84f217dce4b1bb73cba981
MISMATCH	usr/lib/firmware/qca/hmtnv20.b10f	regular	0777	9540	594885553fad67dfa4ea24f254f0760da284acc18dc9d190e175594651bbad1c	linux-firmware-atheros-20260622-1-any.pkg.tar.xz	d000b5fe8765ccd757bee17d8537aaeb065eda9f58870ec40be9534c5c5745c2	regular	0644	9556	f8d027c5f0ea54456d23b903c55e1a87b06df97ff26b83e3fd02ac6b265b5264
MISMATCH	usr/lib/firmware/qca/hmtnv20.b112	regular	0777	9540	594885553fad67dfa4ea24f254f0760da284acc18dc9d190e175594651bbad1c	linux-firmware-atheros-20260622-1-any.pkg.tar.xz	d000b5fe8765ccd757bee17d8537aaeb065eda9f58870ec40be9534c5c5745c2	symlink	0777	12	hmtnv20.b10f
MISMATCH	usr/lib/firmware/qca/hmtnv20.bin	regular	0777	9492	4e6f5fb6a17eaf219be1c2ce6c9f8829ea4d079ca28496c1729f7ee62b052c17	linux-firmware-atheros-20260622-1-any.pkg.tar.xz	d000b5fe8765ccd757bee17d8537aaeb065eda9f58870ec40be9534c5c5745c2	regular	0644	9508	c26b340bbc8b617304610c774627ac4879194705eea7a7c7b13e3593903befd9
identical	usr/share/alsa/ucm2/codecs/wcd939x/AnalogMic1EnableSeq.conf	regular	0644	179	a6f6f065a789e9ef231f4aa4bff67e62130f3af9c4470316445fa7094d1c80a9	alsa-ucm-conf-1.2.16.1-1-any.pkg.tar.xz	7c8748eb29e8bdd1632071410aab1ed19edc0f48ffbe47375a51b5a4bdef8db8	regular	0644	179	a6f6f065a789e9ef231f4aa4bff67e62130f3af9c4470316445fa7094d1c80a9
identical	usr/share/alsa/ucm2/codecs/wcd939x/AnalogMic3EnableSeq.conf	regular	0644	179	7eec79be9a7b02178a8c93af655a6665c0fc6070abe569f209ed000403e8d129	alsa-ucm-conf-1.2.16.1-1-any.pkg.tar.xz	7c8748eb29e8bdd1632071410aab1ed19edc0f48ffbe47375a51b5a4bdef8db8	regular	0644	179	7eec79be9a7b02178a8c93af655a6665c0fc6070abe569f209ed000403e8d129
identical	usr/share/alsa/ucm2/codecs/wcd939x/AnalogMic4EnableSeq.conf	regular	0644	179	81b2c7cca7c4e37109fbbcfffc0b6994bf90a799c1ae79ba2afad18706978593	alsa-ucm-conf-1.2.16.1-1-any.pkg.tar.xz	7c8748eb29e8bdd1632071410aab1ed19edc0f48ffbe47375a51b5a4bdef8db8	regular	0644	179	81b2c7cca7c4e37109fbbcfffc0b6994bf90a799c1ae79ba2afad18706978593
identical	usr/share/alsa/ucm2/codecs/wcd939x/AnalogMic5EnableSeq.conf	regular	0644	179	28c852a9b7ee3c88313c1b538d885c2a58b525d6ec137dbe080816fd7ca8e054	alsa-ucm-conf-1.2.16.1-1-any.pkg.tar.xz	7c8748eb29e8bdd1632071410aab1ed19edc0f48ffbe47375a51b5a4bdef8db8	regular	0644	179	28c852a9b7ee3c88313c1b538d885c2a58b525d6ec137dbe080816fd7ca8e054
identical	usr/share/alsa/ucm2/codecs/wcd939x/AnalogMicDisableSeq.conf	regular	0644	125	57f5e9836a40eb6a83b636a6f8eb83eeebb0770e1ca3dd02f4f35679164efe1a	alsa-ucm-conf-1.2.16.1-1-any.pkg.tar.xz	7c8748eb29e8bdd1632071410aab1ed19edc0f48ffbe47375a51b5a4bdef8db8	regular	0644	125	57f5e9836a40eb6a83b636a6f8eb83eeebb0770e1ca3dd02f4f35679164efe1a
